date,temperature,humidity,luminosity
2022-11-10 15:54:43.035,23.6,27.6,101
2022-11-10 15:54:41.763,23.5,27.6,106
2022-11-10 15:54:40.758,23.5,27.6,106
2022-11-10 15:54:39.481,23.6,27.6,107
2022-11-10 15:54:38.481,23.6,27.6,101
2022-11-10 15:54:37.202,23.5,27.6,98
2022-11-10 15:54:36.198,23.5,27.6,97
2022-11-10 15:54:34.924,23.6,27.8,95
2022-11-10 15:54:33.922,23.6,27.8,94
2022-11-10 15:54:32.643,23.5,27.9,98
2022-11-10 15:54:31.644,23.5,27.9,97
2022-11-10 15:54:30.365,23.5,27.9,101
2022-11-10 15:54:29.366,23.5,27.9,102
2022-11-10 15:54:28.088,23.5,28.0,103
2022-11-10 15:54:27.084,23.5,28.0,102
2022-11-10 15:54:25.810,23.5,28.1,102
2022-11-10 15:54:24.808,23.5,28.1,103
2022-11-10 15:54:23.528,23.5,28.1,99
2022-11-10 15:54:22.530,23.5,28.1,99
2022-11-10 15:54:21.251,23.5,28.2,101
2022-11-10 15:54:20.247,23.5,28.2,81
2022-11-10 15:54:18.974,23.5,28.3,90
2022-11-10 15:54:17.971,23.5,28.3,89
2022-11-10 15:54:16.695,23.5,28.4,90
2022-11-10 15:54:15.693,23.5,28.4,98
2022-11-10 15:54:14.418,23.5,28.4,100
2022-11-10 15:54:13.415,23.5,28.4,99
2022-11-10 15:54:12.136,23.5,28.3,96
2022-11-10 15:54:11.137,23.5,28.3,106
2022-11-10 15:54:09.859,23.5,28.2,106
2022-11-10 15:54:08.856,23.5,28.2,106
2022-11-10 15:54:07.581,23.5,28.3,107
2022-11-10 15:54:06.579,23.5,28.3,106
2022-11-10 15:54:05.300,23.5,27.9,100
2022-11-10 15:54:04.300,23.5,27.9,95
2022-11-10 15:54:03.022,23.5,27.5,97
2022-11-10 15:54:02.019,23.5,27.5,96
2022-11-10 15:54:00.745,23.5,27.4,96
2022-11-10 15:53:59.742,23.5,27.4,95
2022-11-10 15:53:58.462,23.5,27.4,99
2022-11-10 15:53:57.464,23.5,27.4,99
2022-11-10 15:53:56.185,23.5,27.4,100
2022-11-10 15:53:55.181,23.5,27.4,94
2022-11-10 15:53:53.907,23.5,27.4,94
2022-11-10 15:53:52.903,23.5,27.4,104
2022-11-10 15:53:51.627,23.5,27.4,94
2022-11-10 15:53:50.626,23.5,27.4,94
2022-11-10 15:53:49.348,23.5,27.4,92
2022-11-10 15:53:48.349,23.5,27.4,99
2022-11-10 15:53:47.070,23.5,27.4,107
2022-11-10 15:53:46.067,23.5,27.4,105
2022-11-10 15:53:44.793,23.5,27.4,104
2022-11-10 15:53:43.790,23.5,27.4,105
2022-11-10 15:53:42.512,23.5,27.5,106
2022-11-10 15:53:41.513,23.5,27.5,105
2022-11-10 15:53:40.233,23.6,27.5,105
2022-11-10 15:53:39.235,23.6,27.5,106
2022-11-10 15:53:37.956,23.5,27.5,107
2022-11-10 15:53:36.952,23.5,27.5,106
2022-11-10 15:53:35.679,23.5,27.5,106
2022-11-10 15:53:34.675,23.5,27.5,106
2022-11-10 15:53:33.396,23.5,27.5,106
