date,temperature,humidity,luminosity
2022-11-10 15:30:21.065,23.4,26.1,104
2022-11-10 15:30:20.066,23.4,26.1,102
2022-11-10 15:30:18.787,23.4,26.1,104
2022-11-10 15:30:17.784,23.4,26.1,104
2022-11-10 15:30:16.511,23.4,26.1,102
2022-11-10 15:30:15.507,23.4,26.1,101
2022-11-10 15:30:14.233,23.4,26.0,100
2022-11-10 15:30:13.228,23.4,26.0,102
2022-11-10 15:30:11.951,23.4,25.9,102
2022-11-10 15:30:10.951,23.4,25.9,103
2022-11-10 15:30:09.674,23.4,25.9,105
2022-11-10 15:30:08.670,23.4,25.9,103
2022-11-10 15:30:07.395,23.4,25.9,105
2022-11-10 15:30:06.393,23.4,25.9,101
2022-11-10 15:30:05.113,23.4,25.8,104
2022-11-10 15:30:04.115,23.4,25.8,105
2022-11-10 15:30:02.836,23.4,25.8,105
2022-11-10 15:30:01.833,23.4,25.8,105
2022-11-10 15:30:00.559,23.4,25.7,104
2022-11-10 15:29:59.556,23.4,25.7,106
2022-11-10 15:29:58.281,23.4,25.6,103
2022-11-10 15:29:57.277,23.4,25.6,103
2022-11-10 15:29:55.999,23.4,25.6,104
2022-11-10 15:29:54.999,23.4,25.6,105
2022-11-10 15:29:53.721,23.4,25.6,103
2022-11-10 15:29:52.718,23.4,25.6,105
2022-11-10 15:29:51.445,23.4,25.6,104
2022-11-10 15:29:50.440,23.4,25.6,103
2022-11-10 15:29:49.167,23.4,25.6,104
2022-11-10 15:29:48.162,23.4,25.6,103
2022-11-10 15:29:46.884,23.4,25.6,103
2022-11-10 15:29:45.885,23.4,25.6,103
2022-11-10 15:29:44.607,23.4,25.6,105
2022-11-10 15:29:43.604,23.4,25.6,103
2022-11-10 15:29:42.330,23.4,25.5,102
2022-11-10 15:29:41.327,23.4,25.5,103
2022-11-10 15:29:40.047,23.4,25.5,105
2022-11-10 15:29:39.049,23.4,25.5,103
2022-11-10 15:29:37.771,23.4,25.4,101
2022-11-10 15:29:36.767,23.4,25.4,104
2022-11-10 15:29:35.492,23.4,25.5,102
2022-11-10 15:29:34.489,23.4,25.5,102
2022-11-10 15:29:33.212,23.4,25.5,103
2022-11-10 15:29:32.211,23.4,25.5,104
2022-11-10 15:29:30.933,23.4,25.6,106
2022-11-10 15:29:29.930,23.4,25.6,105
2022-11-10 15:29:28.655,23.4,25.6,105
2022-11-10 15:29:27.653,23.4,25.6,106
2022-11-10 15:29:26.379,23.4,25.6,103
2022-11-10 15:29:25.374,23.4,25.6,105
2022-11-10 15:29:24.097,23.4,25.6,105
2022-11-10 15:29:23.097,23.4,25.6,106
2022-11-10 15:29:21.819,23.4,25.7,105
2022-11-10 15:29:20.815,23.4,25.7,104
2022-11-10 15:29:19.542,23.4,25.7,106
2022-11-10 15:29:18.537,23.4,25.7,105
2022-11-10 15:29:17.260,23.4,25.7,104
2022-11-10 15:29:16.260,23.4,25.7,103
2022-11-10 15:29:14.982,23.4,25.6,104
2022-11-10 15:29:13.981,23.4,25.6,104
2022-11-10 15:29:12.703,23.4,25.6,100
2022-11-10 15:29:11.701,23.4,25.6,102
2022-11-10 15:29:10.427,23.4,25.6,103
2022-11-10 15:29:09.423,23.4,25.6,101
2022-11-10 15:29:08.144,23.4,25.7,102
2022-11-10 15:29:07.146,23.4,25.7,105
2022-11-10 15:29:05.867,23.4,25.8,105
2022-11-10 15:29:04.867,23.4,25.8,104
2022-11-10 15:29:03.589,23.4,25.8,104
2022-11-10 15:29:02.587,23.4,25.8,105
2022-11-10 15:29:01.312,23.4,25.9,104
2022-11-10 15:29:00.308,23.4,25.9,104
2022-11-10 15:28:59.030,23.4,25.8,104
2022-11-10 15:28:58.031,23.4,25.8,102
2022-11-10 15:28:56.753,23.4,25.8,103
2022-11-10 15:28:55.748,23.4,25.8,101
2022-11-10 15:28:54.474,23.4,25.8,101
2022-11-10 15:28:53.471,23.4,25.8,102
2022-11-10 15:28:52.193,23.4,25.9,105
2022-11-10 15:28:51.194,23.4,25.9,95
2022-11-10 15:28:49.915,23.4,25.8,105
2022-11-10 15:28:48.917,23.4,25.8,106
2022-11-10 15:28:47.639,23.4,25.8,105
2022-11-10 15:28:46.635,23.4,25.8,105
2022-11-10 15:28:45.361,23.4,25.8,106
2022-11-10 15:28:44.356,23.4,25.8,106
2022-11-10 15:28:43.079,23.4,25.9,105
2022-11-10 15:28:42.079,23.4,25.9,105
2022-11-10 15:28:40.802,23.4,25.9,106
